trade_id,asset,side,entry_time,exit_time,holding_bars,entry_price,exit_price,high_during_trade,low_during_trade,position_fraction,leverage_used,effective_position,notional_value,margin_used,tp_price,sl_price,risk_reward_ratio,exit_reason,gross_pnl,transaction_cost_total,net_pnl,return_pct,reward_total,reward_pnl_total,reward_transaction_cost_total,reward_drawdown_penalty_total,reward_overtrading_penalty_total,reward_missed_opportunity_penalty_total,reward_wrong_side_penalty_total,reward_tp_bonus_total,reward_sl_penalty_total,portfolio_value_before,portfolio_value_after,max_favorable_excursion,max_adverse_excursion,predicted_log_return_at_entry,signal_strength_at_entry,direction_action_at_entry,size_label_at_entry,risk_profile_at_entry
1,BTC,SHORT,2026-02-12 16:00:00+00:00,2026-02-12 19:00:00+00:00,12,65785.0078125,65781.4140625,67163.296875,65109.65625,0.5,1.0,0.5,5000.0,5000.0,64591.19943237305,66580.88006591797,1.5,AGENT_CLOSE,0.27314354132501456,10.054800860944606,-9.781657319619592,-0.0019563314639239183,-0.00979464030550252,0.011460172188921015,0.001,0.0,0.02,0.0,0.00025481249442353465,0.0,0.0,10000.0,9990.21834268038,0.0051309420447596754,0.0,0.0,0.0,SHORT,MEDIUM,CONSERVATIVE
2,BTC,SHORT,2026-02-16 13:00:00+00:00,2026-02-16 15:00:00+00:00,8,68380.53125,67508.296875,70006.734375,67316.984375,0.5,1.5,0.75,7578.410190771199,5000.0,66686.5648803711,69396.91107177734,1.6666666666666667,AGENT_CLOSE,96.6671325215969,15.25768232501288,81.40945019658402,0.010742286066241497,-0.017293899851525598,0.0142061001484744,0.0015,0.0,0.03,0.0,0.0,0.0,0.0,10104.546921028266,10185.956371224851,0.012755595182656614,-0.0006052983830832697,0.0,0.0,SHORT,MEDIUM,BALANCED
3,BTC,SHORT,2026-02-23 01:00:00+00:00,2026-02-23 04:45:00+00:00,15,64598.59375,64811.03515625,66720.875,64400.73828125,0.5,1.0,0.5,5115.675120093999,5000.0,63962.391510009766,65022.728576660156,1.5,AGENT_CLOSE,-16.823604870359993,10.302752482446255,-27.12635735280625,-0.005302595789606712,-0.006376979543531694,0.01479201596366092,0.001,0.0,0.02,0.0,0.00016899550719261366,0.0,0.0,10231.350240187998,10204.223882835191,0.0,-0.005383546468455438,0.0,0.0,SHORT,MEDIUM,CONSERVATIVE
4,BTC,LONG,2026-02-25 01:00:00+00:00,2026-02-25 13:00:00+00:00,48,65926.2578125,66241.3125,66530.1875,64209.01171875,1.0,2.0,2.0,20737.93529468432,10000.0,68368.3896484375,64705.19189453125,2.0,MAX_HOLD,99.1044227361436,42.55634061919936,56.548082116944244,0.002726794220996485,-0.028855257416963466,0.05609729502100412,0.004,0.0,0.08,0.0,0.0009525524379675925,0.0,0.0,10368.96764734216,10425.515729459104,0.004778895359054702,-0.015868463829318766,0.0,0.0,LONG,LARGE,AGGRESSIVE
5,BTC,SHORT,2026-02-28 06:00:00+00:00,2026-02-28 09:00:00+00:00,12,63106.07421875,63688.921875,65585.109375,63106.07421875,0.5,1.5,0.75,8165.5381926997525,5000.0,61034.51400756836,64349.010345458984,1.6666666666666667,AGENT_CLOSE,-75.41690489472477,16.50390960405464,-91.92081449877941,-0.011257165459217311,-0.008437931365050125,0.023860982973288387,0.0015,0.0,0.03,0.0,0.0007989143383385104,0.0,0.0,10887.384256933003,10795.463442434224,0.0,-0.01184662109400993,0.0,0.0,SHORT,MEDIUM,BALANCED
6,BTC,LONG,2026-03-02 14:00:00+00:00,2026-03-02 16:45:00+00:00,11,67064.1328125,69511.75,70024.0625,65309.109375,1.0,2.0,2.0,22218.980354123665,10000.0,69740.9814453125,65725.70849609375,2.0,AGENT_CLOSE,810.9186822041697,46.835400555525474,764.0832816486443,0.03438876444691741,0.038093890399319465,0.12209389039931948,0.004,0.0,0.08,0.0,0.0,0.0,0.0,11109.490177061833,11873.573458710476,0.036496664981013394,0.0,0.0,0.0,LONG,LARGE,AGGRESSIVE
7,BTC,LONG,2026-03-04 07:00:00+00:00,2026-03-04 16:00:00+00:00,36,69556.46875,73410.8125,73417.75,68390.5390625,1.0,2.0,2.0,24567.187360999003,10000.0,73249.783203125,67709.8115234375,2.0,TP,1361.3454903854001,51.79745355918003,1309.5480368262201,0.053304760434446756,0.053461969666724875,0.13561066059520097,0.004,0.0,0.08,0.0,0.00014869092847608905,0.002,0.0,12283.593680499502,13593.141717325721,0.055413160260525736,0.0,0.0,0.0,LONG,LARGE,AGGRESSIVE
8,BTC,LONG,2026-03-23 11:00:00+00:00,2026-03-23 15:45:00+00:00,19,70063.984375,70131.59375,71696.078125,68534.1796875,1.0,2.0,2.0,27175.805665784657,10000.0,72711.1201171875,68740.41650390625,2.0,AGENT_CLOSE,26.223733242906363,55.229454046714125,-29.005720803807762,-0.0010673361872147562,-0.03825465768662293,0.04660971632381917,0.004,0.0,0.08,0.0,0.0008643740104420906,0.0,0.0,13587.902832892329,13558.897112088522,0.01921569458274189,0.0,-0.0004255353123880923,0.0004255353123880923,LONG,LARGE,AGGRESSIVE
9,BTC,SHORT,2026-04-02 01:00:00+00:00,2026-04-02 03:00:00+00:00,2,67328.8203125,66570.546875,68588.5390625,66506.125,0.5,1.0,0.5,6999.385271041902,5000.0,66584.01698303223,67825.35586547852,1.5,TP,78.82876760985597,14.057903838800588,64.77086377105539,0.009253793192243273,-0.0064734021295395315,0.01252659787046047,0.001,0.0,0.02,0.0,0.0,0.002,0.0,13998.770542083805,14063.54140585486,0.011262241547981229,0.0,-0.0006278598448261619,0.0006278598448261619,SHORT,MEDIUM,CONSERVATIVE
10,BTC,LONG,2026-04-07 22:00:00+00:00,2026-04-09 22:00:00+00:00,48,71430.3515625,72041.1171875,73004.65625,69911.75,1.0,2.0,2.0,28219.95723389922,10000.0,73564.37353515625,70363.34057617188,2.0,MAX_HOLD,241.2949039226665,57.733954280301134,183.56094964236536,0.006504650170832392,-0.019943310219292756,0.06752398634852437,0.004,0.0,0.08,0.0,0.003467296567817104,0.0,0.0,14109.97861694961,14293.539566591975,0.013444696182962314,-0.009293143397441892,0.0031498889438807964,0.0031498889438807964,LONG,LARGE,AGGRESSIVE
11,BTC,SHORT,2026-04-12 01:00:00+00:00,2026-04-12 13:00:00+00:00,12,71666.203125,70895.84375,73141.5,70895.84375,0.5,1.0,0.5,7363.742263077277,5000.0,71097.02247619629,72045.65689086914,1.5,TP,79.15485459095608,14.789472940553388,64.3653816504027,0.008740852049254733,-0.006142011944610091,0.013134057106074635,0.001,0.0,0.02,0.0,0.00027606905068472474,0.002,0.0,14727.484526154554,14791.849907804957,0.01074927010792439,-0.002011495568539651,0.0023644198663532734,0.0023644198663532734,SHORT,MEDIUM,CONSERVATIVE
12,BTC,LONG,2026-04-17 13:00:00+00:00,2026-04-18 08:00:00+00:00,19,77388.0,76760.0234375,78340.0390625,76100.0078125,1.0,1.0,1.0,14844.035624274746,10000.0,78244.10000610352,76817.26666259766,1.5,SL,-120.45415910683306,29.769647373978334,-150.2238064808114,-0.01012014591470984,-0.03828989654439929,0.00964201610531163,0.002,0.0,0.04,0.0,0.0009319126497109258,0.0,0.005,14844.035624274746,14693.811817793934,0.0076206905463379335,-0.008114650365689771,-0.00045304212835617363,0.00045304212835617363,LONG,LARGE,CONSERVATIVE
13,BTC,LONG,2026-04-22 02:00:00+00:00,2026-04-24 02:00:00+00:00,48,77626.0078125,78154.1015625,79500.0078125,76244.03125,1.0,2.0,2.0,29821.37227590777,10000.0,79954.48071289062,76461.77136230469,2.0,MAX_HOLD,202.8763395042739,75.72029282983513,127.15604667443876,0.004263923386824361,-0.05977006563212521,0.04785779035373393,0.005,0.0,0.1,0.0,0.0026278559858591084,0.0,0.0,14910.686137953884,15037.842184628324,0.021891825277228185,-0.002577764439249933,0.0019225700525566936,0.0019225700525566936,LONG,LARGE,AGGRESSIVE
